Reaction_ID,Reaction,Reaction_Type,Maximum_Abs_Sensitivity,Occurrences
1067,nc7h16 + h => c7h15-1 + h2,Elementary,0.05888872,1
1405,c7h14ooh1-3o2 => c7h14ooh1-3 + o2,Elementary,0.05818727,3
95,ho2 + h => h2 + o2,Elementary,0.05805051,10
27,c2h4 + o => ch3 + hco,Elementary,0.05748011,2
273,c3h6 + oh => c3h5-a + h2o,Elementary,0.05740988,8
791,c3h5-a + h => c3h4-a + h2,Elementary,0.05735569,11
735,c4h8ooh1-3o2 => c4h8ooh1-3 + o2,Elementary,0.05582083,3
223,c2h3 + o2 => ch2o + hco,Elementary,0.05565803,4
131,ch2 + o2 => co + h2o,Elementary,0.05482019,2
413,pc4h9 => c2h5 + c2h4,Elementary,0.054709,1
1453,nc7ket24 => nc3h7cho + ch3coch2 + oh,Elementary,0.05466415,1
883,pc4h9o2 => pc4h9 + o2,Elementary,0.053755,1
884,pc4h9 + o2 => pc4h9o2,Elementary,0.05240936,1
173,c2h2 + o => hcco + h,Elementary,0.05083563,1
125,c2h3 + o2 => c2h2 + ho2,Duplicate,0.05069843,1
1065,nc7h16 => pc4h9 + nc3h7,Elementary,0.05020648,1
