Case_ID,Temperature,Reaction_ID,YAML_Index,Reaction,Reaction_Type,Sensitivity,Abs_Sensitivity,Max_Carbon
19,1050.0,540,539,ch3 + o2 + M => ch3o2 + M,ThirdBody,-0.12578892,0.12578892,0
19,1050.0,102,101,h2o2 (+M) => 2 oh (+M),Falloff,-0.11357934,0.11357934,0
19,1050.0,37,36,c2h5 + o2 => c2h4 + ho2,Elementary,0.09010492,0.09010492,0
19,1050.0,89,88,ch3 + ho2 => ch4 + o2,Elementary,0.07580981,0.07580981,0
19,1050.0,1143,1142,nc7h16 + ch3o2 => c7h15-3 + ch3o2h,Elementary,-0.0681284,0.0681284,0
19,1050.0,1141,1140,nc7h16 + ch3o2 => c7h15-2 + ch3o2h,Elementary,-0.06645095,0.06645095,0
19,1050.0,1097,1096,nc7h16 + ho2 => c7h15-4 + h2o2,Elementary,-0.06637272,0.06637272,0
19,1050.0,1091,1090,nc7h16 + ho2 => c7h15-1 + h2o2,Elementary,-0.06574491,0.06574491,0
19,1050.0,318,317,c3h6 + h2 => ic3h7 + h,Elementary,-0.06403251,0.06403251,0
19,1050.0,293,292,nc3h7 => ch3 + c2h4,Elementary,-0.05859993,0.05859993,0
19,1050.0,1278,1277,c7h15-2 + o2 => c7h15o2-2,Elementary,-0.05729097,0.05729097,0
19,1050.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.05697041,0.05697041,0
19,1050.0,51,50,h + o2 (+M) => ho2 (+M),Falloff,0.05243286,0.05243286,0
6,1100.0,100,99,2 ho2 => h2o2 + o2,Duplicate,0.15970776,0.15970776,0
6,1100.0,102,101,h2o2 (+M) => 2 oh (+M),Falloff,-0.12640784,0.12640784,0
6,1100.0,1095,1094,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,-0.11688503,0.11688503,0
6,1100.0,1093,1092,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,-0.11137669,0.11137669,0
6,1100.0,540,539,ch3 + o2 + M => ch3o2 + M,ThirdBody,-0.10724568,0.10724568,0
6,1100.0,539,538,ch3o2 + M => ch3 + o2 + M,ThirdBody,0.09627276,0.09627276,0
6,1100.0,89,88,ch3 + ho2 => ch4 + o2,Elementary,0.09242984,0.09242984,0
6,1100.0,553,552,c2h5 + ho2 => c2h5o + oh,Elementary,-0.0917474,0.0917474,0
6,1100.0,43,42,ch3 + ho2 => ch3o + oh,Elementary,-0.0696924,0.0696924,0
6,1100.0,15,14,h + o2 => o + oh,Elementary,-0.06301449,0.06301449,0
6,1100.0,1097,1096,nc7h16 + ho2 => c7h15-4 + h2o2,Elementary,-0.06102293,0.06102293,0
6,1100.0,1091,1090,nc7h16 + ho2 => c7h15-1 + h2o2,Elementary,-0.05476443,0.05476443,0
6,1100.0,37,36,c2h5 + o2 => c2h4 + ho2,Elementary,0.05447364,0.05447364,0
