sr_no,dataset_ID,Temperature_K,Pressure_Pa,Phi,Fuel_list,Fuel_total,Bathgas_list,Bathgas_total,target_type,observed,obs_unit,X_AR,X_MB-C5H10O2,X_O2
36,ing_Ethyl_Butanoate,794.22,2965000,0.9997543,MB-C5H10O2,0.0313,AR,0.7652,Tig,58972,us,0.7652,0.0313,0.2035
37,ing_Ethyl_Butanoate,806.6,3003000,0.9997543,MB-C5H10O2,0.0313,AR,0.7652,Tig,54024,us,0.7652,0.0313,0.2035
38,ing_Ethyl_Butanoate,820.07,2945000,0.9997543,MB-C5H10O2,0.0313,AR,0.7652,Tig,52008,us,0.7652,0.0313,0.2035
39,ing_Butanoate,832.82,3000000,0.9997543,MB-C5H10O2,0.0313,AR,0.7652,Tig,57700,us,0.7652,0.0313,0.2035
40,ing_Butanoate,845.45,3000000,0.9997543,MB-C5H10O2,0.0313,AR,0.7652,Tig,37400,us,0.7652,0.0313,0.2035
41,ing_Butanoate,858.77,3000000,0.9997543,MB-C5H10O2,0.0313,AR,0.7652,Tig,21600,us,0.7652,0.0313,0.2035
42,ing_Butanoate,869.05,3000000,0.9997543,MB-C5H10O2,0.0313,AR,0.7652,Tig,12600,us,0.7652,0.0313,0.2035
43,ing_Butanoate,881.23,3000000,0.9997543,MB-C5H10O2,0.0313,AR,0.7652,Tig,10000,us,0.7652,0.0313,0.2035
44,ing_Butanoate,895.8,3000000,0.9997543,MB-C5H10O2,0.0313,AR,0.7652,Tig,5700,us,0.7652,0.0313,0.2035
45,ing_Butanoate,908.54,3000000,0.9997543,MB-C5H10O2,0.0313,AR,0.7652,Tig,4400,us,0.7652,0.0313,0.2035
