Case_ID,Temperature,Reaction_ID,YAML_Index,Reaction,Reaction_Type,Sensitivity,Abs_Sensitivity,Max_Carbon
29,1442.0,1071,1070,nc7h16 + h => c7h15-3 + h2,Elementary,0.08867544,0.08867544,7
33,1455.0,1071,1070,nc7h16 + h => c7h15-3 + h2,Elementary,0.10154676,0.10154676,7
33,1455.0,1069,1068,nc7h16 + h => c7h15-2 + h2,Elementary,0.05647941,0.05647941,7
11,1050.0,1095,1094,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,-0.13619407,0.13619407,7
11,1050.0,1093,1092,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,-0.13044944,0.13044944,7
11,1050.0,1097,1096,nc7h16 + ho2 => c7h15-4 + h2o2,Elementary,-0.06622522,0.06622522,7
11,1050.0,1091,1090,nc7h16 + ho2 => c7h15-1 + h2o2,Elementary,-0.06158813,0.06158813,7
11,1050.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.0507092,0.0507092,7
15,1050.0,1095,1094,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,-0.11632933,0.11632933,7
15,1050.0,1093,1092,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,-0.1138429,0.1138429,7
15,1050.0,1097,1096,nc7h16 + ho2 => c7h15-4 + h2o2,Elementary,-0.06036752,0.06036752,7
15,1050.0,1143,1142,nc7h16 + ch3o2 => c7h15-3 + ch3o2h,Elementary,-0.05699475,0.05699475,7
15,1050.0,1141,1140,nc7h16 + ch3o2 => c7h15-2 + ch3o2h,Elementary,-0.05538685,0.05538685,7
15,1050.0,1091,1090,nc7h16 + ho2 => c7h15-1 + h2o2,Elementary,-0.05263817,0.05263817,7
32,1501.0,1071,1070,nc7h16 + h => c7h15-3 + h2,Elementary,0.07168033,0.07168033,7
32,1501.0,1069,1068,nc7h16 + h => c7h15-2 + h2,Elementary,0.05570464,0.05570464,7
5,1000.0,1093,1092,nc7h16 + ho2 => c7h15-2 + h2o2,Elementary,-0.156241,0.156241,7
5,1000.0,1095,1094,nc7h16 + ho2 => c7h15-3 + h2o2,Elementary,-0.13922262,0.13922262,7
5,1000.0,1309,1308,c7h15o2-2 => c7h14ooh2-4,Elementary,-0.10868894,0.10868894,7
5,1000.0,1278,1277,c7h15-2 + o2 => c7h15o2-2,Elementary,-0.08098723,0.08098723,7
5,1000.0,1187,1186,c7h15-2 => pc4h9 + c3h6,Elementary,0.07880488,0.07880488,7
